M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE
1467872677	2-Hydroxy-2,4-pentadienoate	VHTQQDXPNUTMNB	OC(=CC=C)C(=O)O	C5H6O3	0.0
1467872719	Phenylacetaldehyde	DTUQWGWMVIHBKE	O=CCc1ccccc1	C8H8O	0.0
1467872740	(S)-Ureidoglycolate	NWZYYCVIOKVTII	NC(=O)NC(C(=O)O)O	C3H6N2O4	0.0
1467872773	3-Sulfino-L-alanine	ADVPTQAUNPRNPO	[O-]S(=O)CC(C(=O)[O-])N	C3H5NO4S--	-2.0
1467872821	N1-Acetylspermidine	MQTAVJHICJWXBR	[N+]CCCC[N+]CCCNC(=O)C	C9H18N3O++	2.0
1467872853	Quercetin 3-sulfate	DNAYVNOVGHZZLH	Oc1cc(O)c2c(c1)oc(c(c2=O)OS(=O)(=O)O)c1ccc(c(c1)O)O	C15H10O10S	0.0
1467872878	3-Dehydro-L-gulonate	WTAHRPBPWHCMHW	OCC(C(C(=O)C(C(=O)O)O)O)O	C6H10O7	0.0
1467872897	r1p	YXJDFQJKERBOBM	OCC1OC(C(C1O)O)OP(=O)(O)O	C5H11O8P	0.0
1467872933	N-Acetyl-L-glutamate	RFMMMVDNIPUKGG	[O-]C(=O)CCC(C(=O)[O-])[NH2+]C(=O)C	C7H10NO5-	-1.0
1467872953	Pyridoxine phosphate	WHOMFKWHIQZTHY	OCc1c(cnc(c1O)C)COP(=O)(O)O	C8H12NO6P	0.0
1467872967	2,5-Dihydroxybenzoate	WXTMDXOMEHJXQO	Oc1ccc(c(c1)C(=O)O)O	C7H6O4	0.0
1467872984	2-Methylpropanoyl-CoA	AEWHYWSPVRZHCT	O=C(NCCSC(=O)C(C)C)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C25H42N7O17P3S	0.0
1467872997	2-Phospho-D-glycerate	GXIURPTVHJPJLF	OCC(C(=O)O)OP(=O)(O)O	C3H7O7P	0.0
1467873011	3-Hydroxyanthranilate	WJXSWCUQABXPFS	OC(=O)c1cccc(c1N)O	C7H7NO3	0.0
1467873025	4-Hydroxybenzaldehyde	RGHHSNMVTDWUBI	O=Cc1ccc(cc1)O	C7H6O2	0.0
1467873072	Indole-3-acetaldehyde	WHOOUMGHGSPMGR	O=CCc1c[nH]c2c1cccc2	C10H9NO	0.0
1467873094	Prostaglandin F2alpha	PXGPLTODNUVGFL	CCCCCC(C=CC1C(O)CC(C1CC=CCCCC(=O)O)O)O	C20H34O5	0.0
1467873142	4-Hydroxyphenylacetate	XQXPVVBIMDBYFF	OC(=O)Cc1ccc(cc1)O	C8H8O3	0.0
1467873155	5-Hydroxy-L-tryptophan	LDCYZAJDBXYCGN	OC(=O)C(Cc1c[nH]c2c1cc(O)cc2)N	C11H12N2O3	0.0
1467873168	D-Mannitol 1-phosphate	GACTWZZMVMUKNG	OCC(C(C(C(COP(=O)(O)O)O)O)O)O	C6H15O9P	0.0
1467873194	Pyridoxamine phosphate	ZMJGSOSNSPKHNH	[N+]Cc1c(COP(=O)([O-])[O-])cnc(c1O)C	C8H9N2O5P-	-1.0
1467873208	4-Hydroxymandelonitrile	HOOOPXDSCKBLFG	OC(c1ccc(cc1)O)C#N	C8H7NO2	0.0
1467873229	D-Arabinono-1,4-lactone	CUOKHACJLGPRHD	OCC1OC(=O)C(C1O)O	C5H8O5	0.0
1467873249	Xanthosine 5'-phosphate	DCTLYFZHFGENCW	O=c1[nH]c(=O)c2c([nH]1)n(cn2)C1OC(C(C1O)O)COP(=O)(O)O	C10H13N4O9P	0.0
1467873274	2-Aceto-2-hydroxybutanoate	VUQLHQFKACOHNZ	CCC(C(=O)O)(C(=O)C)O	C6H10O4	0.0
1467873313	5-Formiminotetrahydrofolate	YCWUVLPMLLBDCU	N=CN1C(CNc2ccc(cc2)C(=O)NC(C(=O)O)CCC(=O)O)CNc2c1c(=O)[nH]c(n2)N	C20H24N8O6	0.0
1467873324	beta-D-Fructose 2,6-bisphosphate	YXWOAJXNVLXPMU	OCC1(OC(C(C1O)O)COP(=O)(O)O)OP(=O)(O)O	C6H14O12P2	0.0
1467873336	LL-2,6-Diaminoheptanedioate	GMKMEZVLHJARHF	NC(C(=O)O)CCCC(C(=O)O)N	C7H14N2O4	0.0
1467873367	gamma-L-Glutamyl-L-cysteine	RITKHVBHSGLULN	SCC(C(=O)O)NC(=O)CCC(C(=O)O)N	C8H14N2O5S	0.0
1467873383	sn-Glycero-3-phosphocholine	SUHOQUVVVLNYQR	OCC(COP(=O)(OCC[N+](C)(C)C)O)O	C8H21NO6P+	1.0
1467873396	(S)-3-Methyl-2-oxopentanoic acid	JVQYSWDUAOAHFM	CC(C(=O)C(=O)O)CC	C6H10O3	0.0
1467873411	2-Deoxy-D-ribose 1-phosphate	KBDKAJNTYKVSEK	OCC1OC(CC1O)OP(=O)(O)O	C5H11O7P	0.0
1467873423	2-Deoxy-D-ribose 5-phosphate	KKZFLSZAWCYPOC	OC1CC(C(O1)COP(=O)(O)O)O	C5H11O7P	0.0
1467873466	5-Dehydro-4-deoxy-D-glucarate	QUURPCHWPQNNGL	OC(C(CC(=O)C(=O)O)O)C(=O)O	C6H8O7	0.0
1467873504	2-Hydroxymuconate semialdehyde	KGLCZTRXNNGESL	O=CC=CC=C(C(=O)O)O	C6H6O4	0.0
1467873516	(S)-Methylmalonyl-CoA	MZFOKIKEPGUZEN	O=C(NCCSC(=O)C(C(=O)O)C)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C25H40N7O19P3S	0.0
1467873529	2-Dehydro-3-deoxy-L-arabinonate	UQIGQRSJIKIPKZ	OCC(CC(=O)C(=O)O)O	C5H8O5	0.0
1467873553	dtdpddm	PSXWNITXWWECNY	OC1CC(OC1COP(=O)(OP(=O)(OC1OC(C)C(=O)C(C1O)O)O)O)n1cc(C)c(=O)[nH]c1=O	C16H24N2O15P2	0.0
1467873567	alpha,alpha'-Trehalose 6-phosphate	LABSPYBHMPDTEL	OCC1OC(OC2OC(COP(=O)(O)O)C(C(C2O)O)O)C(C(C1O)O)O	C12H23O14P	0.0
1467873580	2,4,6/3,5-Pentahydroxycyclohexanone	VYEGBDHSGHXOGT	OC1C(O)C(O)C(C(=O)C1O)O	C6H10O6	0.0
1467873594	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	OJZCATPXPWFLHF	OCC1OC(OP(=O)(OP(=O)(OCC2OC(C(C2O)O)n2ccc(=O)[nH]c2=O)O)O)C(C(C1O)OC(C(=O)NC(C(=O)NC(C(=O)O)CCC(=O)O)C)C)NC(=O)C	C28H43N5O23P2	0.0
1467873639	Prostaglandin D2	BHMBVRSPMRCCGG	CCCCCC(C=CC1C(=O)CC(C1CC=CCCCC(=O)O)O)O	C20H32O5	0.0
1467873656	Nitrogen	IJGRMHOSHXDMSA	N#N	N2	0.0
1467873682	XTP	CAEFEWVYEZABLA	O=c1[nH]c(=O)c2c([nH]1)n(cn2)C1OC(C(C1O)O)COP(=O)(OP(=O)(OP(=O)([O-])[O-])[O-])[O-]	C10H11N4O15P3----	-4.0
1467873714	O2.-	OUUQCZGPVNCOIJ	[O-][O]	O2-	-1.0
1467873724	dCDP	FTDHDKPUHBLBTL	OC1CC(OC1COP(=O)(OP(=O)(O)O)O)n1ccc(nc1=O)N	C9H15N3O10P2	0.0
1467873776	(9Z)-Octadecenoic acid	ZQPPMHVWECSIRJ	CCCCCCCCC=CCCCCCCCC(=O)O	C18H34O2	0.0
1467873794	Panose	OWEGMIWEEQEYGQ	OCC1OC(O)C(C(C1OC1OC(COC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O)O)O	C18H32O16	0.0
1467873865	Betaine	KWIUHFFTVRNATP	[O-]C(=O)C[N+](C)(C)C	C5H11NO2	0.0
1467873917	Lipoate	AGBQKNBQESQNJD	OC(=O)CCCCC1SSCC1	C8H14O2S2	0.0
1467874065	Diacetyl	QSJXEFYPDANLFS	CC(=O)C(=O)C	C4H6O2	0.0
1467874158	Spermine	PFNFFQXMRSDOHW	NCCCNCCCCNCCCN	C10H26N4	0.0
1467874171	Squalene	YYGNTYWPHWGJRM	CC(=CCCC=C(CCC=C(CCC=C(C)C)C)C)CCC=C(CCC=C(C)C)C	C30H50	0.0
1467874207	4-Hydroxy-3-methoxy-benzaldehyde	MWOOGOJBHIARFG	COc1cc(C=O)ccc1O	C8H8O3	0.0
1467874223	1-Octanol	KBPLFHHGFOOTCA	CCCCCCCCO	C8H18O	0.0
1467874480	Serotonin	QZAYGJVTTNCVMB	[N+]CCc1c[nH]c2c1cc(O)cc2	C10H10N2O+	1.0
1467874510	Urocanate	LOIYMIARKYCTBW	[O-]C(=O)C=Cc1c[nH]cn1	C6H5N2O2-	-1.0
1467874573	Creatinine	DDRJAANPRJIHGJ	O=C1NC(=N)N(C1)C	C4H7N3O	0.0
1467874654	Ethylamine	QUSNBJAOOMFDIB	CC[N+]	C2H5N+	1.0
1467874666	Formyl-CoA	SXMOKYXNAPLNCW	O=CSCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C22H36N7O17P3S	0.0
1467874708	Oxalureate	UWBHMRBRLOJJAA	NC(=O)NC(=O)C(=O)O	C3H4N2O4	0.0
1467874744	Propynoate	UORVCLMRJXCDCP	OC(=O)C#C	C3H2O2	0.0
1467874758	Salicylate	YGSDEFSMJLZEOE	OC(=O)c1ccccc1O	C7H6O3	0.0
1467874835	4-Coumarate	NGSWKAQJJWESNS	OC(=O)C=Cc1ccc(cc1)O	C9H8O3	0.0
1467874888	Citramalate	XFTRTWQBIOMVPK	OC(=O)CC(C(=O)O)(O)C	C5H8O5	0.0
1467874918	DGAL	DSLZVSRJTYRBFB	OC(C(C(=O)O)O)C(C(C(=O)O)O)O	C6H10O8	0.0
1467874972	Dopaquinone	AHMIDUVKSGCHAU	[O-]C(=O)C(CC1=CC(=O)C(=O)C=C1)[N+]	C9H6NO4	0.0
1467874982	1-Hexadecanol	BXWNKGSJHAJOGX	CCCCCCCCCCCCCCCCO	C16H34O	0.0
1467875006	Kanamycin B	SKKLOUVUUNMCJE	[N+]CC1OC(OC2C([N+])CC(C(C2O)OC2OC(CO)C(C(C2O)[N+])O)[N+])C(C(C1O)O)[N+]	C18H27N5O10+++++	5.0
1467875020	L-Arogenate	MIEILDYWGANZNH	OC(=O)C(CC1(C=CC(C=C1)O)C(=O)O)N	C10H13NO5	0.0
1467875034	Lactoyl-CoA	VIWKEBOLLIEAIL	O=C(NCCSC(=O)C(O)C)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C24H40N7O18P3S	0.0
1467875083	Pantetheine	ZNXZGRMVNNHPCA	SCCNC(=O)CCNC(=O)C(C(CO)(C)C)O	C11H22N2O4S	0.0
1467875183	dTDP-glucose	YSYKRGRSMLTJNL	OCC1OC(OP(=O)(OP(=O)(OCC2OC(CC2O)n2cc(C)c(=O)[nH]c2=O)O)O)C(C(C1O)O)O	C16H26N2O16P2	0.0
1467875296	Chlorogenate	CWVRJTMFETXNAD	O=C(OC1CC(O)(CC(C1O)O)C(=O)O)C=Cc1ccc(c(c1)O)O	C16H18O9	0.0
1467875359	Deamino-NAD+	SENPVEZBRZQVST	OC1C(O)C(OC1[n+]1cccc(c1)C(=O)[O-])COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)[O-])[O-]	C21H24N6O15P2--	-2.0
1467875398	L-Histidinol	ZQISRDCJNBUVMM	NC(CO)Cc1cnc[nH]1	C6H11N3O	0.0
1467875411	L-Rhamnulose	QZNPNKJXABGCRC	OCC(=O)C(C(C(O)C)O)O	C6H12O5	0.0
1467875442	Pantothenate	GHOKWGTUZJEAQD	OCC(C(C(=O)NCCC(=O)O)O)(C)C	C9H17NO5	0.0
1467875485	4-Nitrophenol	BTJIUGUIPKRLHP	Oc1ccc(cc1)[N+](=O)[O-]	C6H5NO3	0.0
1467875539	Coenzyme F420	GEHSZWRGPHDXJO	O=C(NC(C(=O)O)CCC(=O)O)CCC(C(=O)O)NC(=O)C(OP(=O)(OCC(C(C(Cn1c2cc(O)ccc2cc2c1nc(=O)[nH]c2=O)O)O)O)O)C	C29H36N5O18P	0.0
1467875551	Crotonoyl-CoA	KFWWCMJSYSSPSK	CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C25H40N7O17P3S	0.0
1467875609	Deoxycytidine	CKTSBUTUHBMZGZ	OCC1OC(CC1O)n1ccc(nc1=O)N	C9H13N3O4	0.0
1467875621	Dephospho-CoA	KDTSHFARGAKYJN	SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C21H35N7O13P2S	0.0
1467875657	Isochorismate	NTGWPRCCOQCMGE	C=C(C(=O)O)OC1C=CC=C(C1O)C(=O)O	C10H10O6	0.0
1467875744	Propenoyl-CoA	POODSGUMUCVRTR	C=CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C24H38N7O17P3S	0.0
1467875820	2-Acetolactate	NMDWGEGFJUBKLB	CC(=O)C(C(=O)O)(O)C	C5H8O4	0.0
1467875846	Cinnamaldehyde	KJPRLNWUNMBNBZ	O=CC=Cc1ccccc1	C9H8O	0.0
1467875858	Citramalyl-CoA	XYGOWHUIVNMEIA	CC(C(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)O	C26H42N7O20P3S	0.0
1467875902	Leukotriene A4	UFPQIRYSPUYQHK	CCCCCC=CCC=CC=CC=CC1OC1CCCC(=O)O	C20H30O3	0.0
1467875985	Choline sulfate	WXCQAWGXWVRCGP	[O-]S(=O)(=O)OCC[N+](C)(C)C	C5H13NO4S	0.0
1467876008	Dihydropteroate	WBFYVDCHGVNRBH	OC(=O)c1ccc(cc1)NCC1=Nc2c(NC1)nc([nH]c2=O)N	C14H14N6O3	0.0
1467876057	Isonocardicin A	CTNZOGJNVIFEBA	[O-]N=C(c1ccc(cc1)OCCC(C(=O)[O-])[NH3+])C(=O)NC1CN(C1=O)C(c1ccc(cc1)O)C(=O)[O-]	C23H22N4O9--	-2.0
1467876067	Mercaptoethanol	DGVVWUTYPXICAM	OCCS	C2H6OS	0.0
1467876094	Porphobilinogen	QSHWIQZFGQKFMA	[N+]Cc1[nH]cc(c1CC(=O)[O-])CCC(=O)[O-]	C10H10N2O4-	-1.0
1467876178	2-Oxoglutaramate	COJBGNAUUSNXHX	NC(=O)CCC(=O)C(=O)O	C5H7NO4	0.0
1467876203	3',5'-Cyclic GMP	ZOOGRGPOEVQQDX	OC1C2OP(=O)(O)OCC2OC1n1cnc2c1nc(N)[nH]c2=O	C10H12N5O7P	0.0
1467876217	3',5'-Cyclic IMP	DMJWGQPYNRPLGA	OC1C2OP(=O)(O)OCC2OC1n1cnc2c1nc[nH]c2=O	C10H11N4O7P	0.0
1467876226	3-Dehydroquinate	WVMWZWGZRAXUBK	OC1CC(O)(CC(=O)C1O)C(=O)O	C7H10O6	0.0
1467876294	Indole-3-acetate	SEOVTRFCIGRIMH	OC(=O)Cc1c[nH]c2c1cccc2	C10H9NO2	0.0
1467876325	L-2-Aminoadipate	OYIFNHCXNCRBQI	OC(=O)CCCC(C(=O)O)N	C6H11NO4	0.0
1467876342	Mercaptopyruvate	OJOLFAIGOXZBCI	OC(=O)C(=O)CS	C3H4O3S	0.0
1467876437	2-Dehydropantoate	PKVVTUWHANFMQC	OCC(C(=O)C(=O)O)(C)C	C6H10O4	0.0
1467876458	3-Hydroxypropanal	AKXKFZDCRYJKTF	OCCC=O	C3H6O2	0.0
1467876496	Dihydrokaempferol	PADQINQHPQKXNL	Oc1ccc(cc1)C1Oc2cc(O)cc(c2C(=O)C1O)O	C15H12O6	0.0
1467876511	Dihydroxyfumarate	BZCOSCNPHJNQBP	OC(=C(C(=O)O)O)C(=O)O	C4H4O6	0.0
1467876547	N-Acetylserotonin	MVAWJSIDNICKHF	CC(=O)NCCc1c[nH]c2c1cc(O)cc2	C12H14N2O2	0.0
1467876560	O-Acetyl-L-serine	VZXPDPZARILFQX	CC(=O)OCC(C(=O)[O-])[N+]	C5H6NO4	0.0
1467876613	1,3-Diaminopropane	XFNJVJPLKCPIBV	[N+]CCC[N+]	C3H6N2++	2.0
1467876629	2-Phosphoglycolate	ASCFNMCAHFUBCO	OC(=O)COP(=O)(O)O	C2H5O6P	0.0
1467876642	4-Hydroxybutanoic acid	SJZRECIVHVDYJC	OCCCC(=O)O	C4H8O3	0.0
1467876684	D-Alanyl-D-alanine	DEFJQIDDEAULHB	[O-]C(=O)C(NC(=O)C([NH3+])C)C	C6H12N2O3	0.0
1467876785	O-Phospho-L-serine	BZQFBWGGLXLEPQ	[O-]C(=O)C(COP(=O)([O-])[O-])[N+]	C3H3NO6P--	-2.0
1467876801	Reduced riboflavin	SGSVWAYHEWEQET	OCC(C(C(Cn1c2cc(C)c(cc2[nH]c2c1[nH]c(=O)[nH]c2=O)C)O)O)O	C17H22N4O6	0.0
1467876810	Trimethylsulfonium	NRZWQKGABZFFKE	C[S+](C)C	C3H9S+	1.0
1467876829	Urea-1-carboxylate	AVWRKZWQTYIKIY	NC(=O)NC(=O)O	C2H4N2O3	0.0
1467876868	3-Hydroxypropanoate	ALRHLSYJTWAHJZ	OCCC(=O)O	C3H6O3	0.0
1467876895	cis-4-Hydroxy-L-proline	PMMYEEVYMWASQN	OC1CNC(C1)C(=O)O	C5H9NO3	0.0
1467876950	6-Hydroxynicotinate	BLHCMGRVFXRYRN	Oc1ccc(cn1)C(=O)O	C6H5NO3	0.0
1467876986	Hydroxymethylbilane	WDFJYRZCZIUBPR	OCc1[nH]c(c(c1CC(=O)O)CCC(=O)O)Cc1[nH]c(c(c1CC(=O)O)CCC(=O)O)Cc1[nH]c(c(c1CC(=O)O)CCC(=O)O)Cc1[nH]cc(c1CC(=O)O)CCC(=O)O	C40H46N4O17	0.0
1467877005	N,N-Dimethylglycine	FFDGPVCHZBVARC	[O-]C(=O)C[N+](C)C	C4H8NO2	0.0
1467877018	N6-Hydroxy-L-lysine	FZQOIMPLZAYIKU	ONCCCCC(C(=O)O)N	C6H14N2O3	0.0
1467877028	N8-Acetylspermidine	FONIWJIDLJEJTL	NCCCNCCCCNC(=O)C	C9H21N3O	0.0
1467877039	S-Formylglutathione	FHXAGOICBFGEBF	O=CSCC(C(=O)NCC(=O)[O-])NC(=O)CCC(C(=O)[O-])[NH3+]	C11H16N3O7S-	-1.0
1467877057	2-Methylbutanoyl-CoA	LYNVNYDEQMMNMZ	CCC(C(=O)SCCN=C(CCN=C(C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)O)O)C	C26H44N7O17P3S	0.0
1467877077	4-Guanidinobutanoate	TUHVEAJXIMEOSA	[O-]C(=O)CCCNC(=[NH2+])N	C5H11N3O2	0.0
1467877103	7,8-Diaminononanoate	KCEGBPIYGIWCDH	OC(=O)CCCCCC(C(N)C)N	C9H20N2O2	0.0
1467877115	L-Gulono-1,4-lactone	SXZYCXMUPBBULW	OCC(C1OC(=O)C(C1O)O)O	C6H10O6	0.0
1467877141	N-Acetyl-L-aspartate	OTCCIMWXFLJLIA	OC(=O)CC(C(=O)O)NC(=O)C	C6H9NO5	0.0
1467877153	N-Carbamoylsarcosine	SREKYKXYSQMOIB	OC(=O)CN(C(=O)N)C	C4H8N2O3	0.0
1467877163	N-Formyl-L-aspartate	MQUUQXIFCBBFDP	O=CNC(C(=O)[O-])CC(=O)[O-]	C5H5NO5--	-2.0
1467877174	N-Formyl-L-glutamate	ADZLWSMFHHHOBV	O=CNC(C(=O)O)CCC(=O)O	C6H9NO5	0.0
1467877208	Polyprenyl phosphate	FFOWJDCTFSWUMJ	CC(=CCOP(=O)(O)O)CCC=C(C)C	C10H19O4P	0.0
1467877216	UDP-N-acetylmuramate	NQBRVZNDBBMBLJ	OCC1OC(OP(=O)(OP(=O)(OCC2OC(C(C2O)O)n2ccc(=O)[nH]c2=O)O)O)C(C(C1O)OC(C(=O)O)C)NC(=O)C	C20H31N3O19P2	0.0
1467877230	Uroporphyrinogen III	HUHWZXWWOFSFKF	OC(=O)CCc1c2Cc3[nH]c(c(c3CC(=O)O)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1CC(=O)O)[nH]2)c(CCC(=O)O)c4CC(=O)O)c(c3CCC(=O)O)CC(=O)O	C40H44N4O16	0.0
1467877253	(S)-2,3-Epoxysqualene	QYIMSPSDBYKPPY	CC(=CCCC=C(CCC=C(CCC1OC1(C)C)C)C)CCC=C(CCC=C(C)C)C	C30H50O	0.0
1467877328	5-Dehydro-D-gluconate	IZSRJDGCGRAUAR	OCC(=O)C(C(C(C(=O)O)O)O)O	C6H10O7	0.0
1467877338	6-Carboxyhexanoyl-CoA	LYCRXMTYUZDUGA	O=C(NCCSC(=O)CCCCCC(=O)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C28H46N7O19P3S	0.0
1467877378	D-Ribitol 5-phosphate	VJDOAZKNBQCAGE	OCC(C(C(COP(=O)(O)O)O)O)O	C5H13O8P	0.0
1467877411	N-Acetyl-beta-alanine	LJLLAWRMBZNPMO	OC(=O)CCNC(=O)C	C5H9NO3	0.0
1467877450	O-Acetyl-L-homoserine	FCXZBWSIAGGPCB	CC(=O)OCCC(C(=O)[O-])[N+]	C6H8NO4	0.0
1467877470	Protoporphyrinogen IX	UHSGPDMIQQYNAX	C=Cc1c2Cc3[nH]c(c(c3C)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1C)[nH]2)c(C=C)c4C)c(c3CCC(=O)O)C	C34H40N4O4	0.0
1467877482	Reduced coenzyme F420	IXPYGZIWHPPILV	O=C(NC(C(=O)O)CCC(=O)O)CCC(C(=O)O)NC(=O)C(OP(=O)(OCC(C(C(CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O)O)O)O)O)C	C29H38N5O18P	0.0
1467877492	Thiamin monophosphate	HZSAJDVWZRBGIF	Cc1ncc(c(n1)N)C[n+]1csc(c1C)CCOP(=O)([O-])[O-]	C12H16N4O4PS-	-1.0
1467877508	alpha,alpha-Trehalose	HDTRYLNUVZCQOY	OCC1OC(OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O	C12H22O11	0.0
1467877530	(R)-2-Hydroxyglutarate	HWXBTNAVRSUOJR	OC(=O)CCC(C(=O)O)O	C5H8O5	0.0
1467877551	(R)-3-Hydroxybutanoate	WHBMMWSBFZVSSR	CC(CC(=O)O)O	C4H8O3	0.0
1467877590	8-Amino-7-oxononanoate	GUAHPAJOXVYFON	[O-]C(=O)CCCCCC(=O)C([NH3+])C	C9H17NO3	0.0
1467877604	Cellobiono-1,5-lactone	FSICMNGKCHFHGP	OCC1OC(=O)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	C12H20O11	0.0
1467877616	D-Fructose 1-phosphate	RHKKZBWRNHGJEZ	OCC1OC(C(C1O)O)(O)COP(=O)(O)O	C6H13O9P	0.0
1467877629	D-Ribose 5-diphosphate	NSCLVINFVJKEKF	OC1C(O)OC(C1O)COP(=O)(OP(=O)(O)O)O	C5H12O11P2	0.0
1467877663	L-Fuculose 1-phosphate	KNYGWWDTPGSEPD	O=C(C(C(C(O)C)O)O)COP(=O)(O)O	C6H13O8P	0.0
1467877674	L-Histidinol phosphate	CWNDERHTHMWBSI	NC(Cc1c[nH]cn1)COP(=O)(O)O	C6H12N3O4P	0.0
1467877700	O-Phospho-L-homoserine	FXDNYOANAXWZHG	[O-]C(=O)C(CCOP(=O)([O-])[O-])[NH3+]	C4H8NO6P--	-2.0
1467877711	Orotidine 5'-phosphate	KYOBSHFOBAOFBF	OC1C(O)C(OC1n1c(=O)[nH]c(=O)cc1C(=O)O)COP(=O)(O)O	C10H13N2O11P	0.0
1467877723	Trimethylamine N-oxide	UYPYRKYUKCHHIB	[O-][N+](C)(C)C	C3H9NO	0.0
1467877736	(R)-5-Phosphomevalonate	OKZYCXHTTZZYSK	OC(=O)CC(CCOP(=O)(O)O)(O)C	C6H13O7P	0.0
1467877751	1,2,3-Trihydroxybenzene	WQGWDDDVZFFDIG	Oc1c(O)cccc1O	C6H6O3	0.0
1467877777	5-Amino-2-oxopentanoic acid	BWHGMFYTDQEALD	[O-]C(=O)C(=O)CCC[NH3+]	C5H9NO3	0.0
1467877803	D-Arabinose 5-phosphate	PPQRONHOSHZGFQ	O=CC(C(C(COP(=O)(O)O)O)O)O	C5H11O8P	0.0
1467877856	O-Succinyl-L-homoserine	GNISQJGXJIDKDJ	O=C(CCC(=O)O)OCCC(C(=O)O)N	C8H13NO6	0.0
1467877895	Streptidine 6-phosphate	UUUGVWGQJIFFRM	NC(=N)NC1C(OP(=O)(O)O)C(O)C(C(C1O)NC(=N)N)O	C8H19N6O7P	0.0
1467877949	(2E,6E)-Farnesol	CRDAMVZIKSXKFV	OCC=C(CCC=C(CCC=C(C)C)C)C	C15H26O	0.0
1467877964	4-Hydroxy-2-oxoglutarate	WXSKVKPSMAHCSG	OC(C(=O)O)CC(=O)C(=O)O	C5H6O6	0.0
1467878010	Pantetheine 4'-phosphate	JDMUPRLRUUMCTL	SCCNC(=O)CCNC(=O)C(C(COP(=O)(O)O)(C)C)O	C11H23N2O7PS	0.0
1467878037	S-Adenosylmethioninamine	ZUNBITIXDCPNSD	[N+]CCC[S+](CC1OC(C(C1O)O)n1cnc2c1ncnc2N)C	C14H21N6O3S++	2.0
1467878051	Streptomycin 6-phosphate	BWVNOTYEDMJNDA	CNC1C(OC(C(C1O)O)CO)OC1C(OC2C(NC(=N)N)C(O)C(C(C2O)OP(=O)(O)O)NC(=N)N)OC(C1(O)C=O)C	C21H40N7O15P	0.0
1467878092	(R)-5-Diphosphomevalonate	SIGQQUBJQXSAMW	OC(=O)CC(CCOP(=O)(OP(=O)(O)O)O)(O)C	C6H14O10P2	0.0
1467878105	(S)-3-Hydroxybutanoyl-CoA	QHHKKMYHDBRONY	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)O	C25H42N7O18P3S	0.0
1467878117	2-Hydroxy-3-oxopropanoate	QWBAFPFNGRFSFB	O=CC(C(=O)O)O	C3H4O4	0.0
1467878152	D-Ribose 1,5-bisphosphate	AAAFZMYJJHWUPN	OC1C(COP(=O)(O)O)OC(C1O)OP(=O)(O)O	C5H12O11P2	0.0
1467878165	N(pi)-Methyl-L-histidine	JDHILDINMRGULE	Cn1cncc1CC(C(=O)O)N	C7H11N3O2	0.0
