metabolite name	formula	KEGG	CHEBI	MetaNetX	metaboliteLCSBID
glycerol 3-phosphate [cytoplasm]	C3H7O6P	C00093	CHEBI:57597	MNXM66	1467866778
glycerol 3-phosphate [lipid particle]	C3H7O6P	C00093	CHEBI:57597	MNXM66	1467866778
glycerol 3-phosphate [mitochondrion]	C3H7O6P	C00093	CHEBI:57597	MNXM66	1467866778
glycerone [cytoplasm]	C3H6O3	C00184	CHEBI:16016	MNXM460	1467868000
glycogen [cytoplasm]	C6H10O5	C00182	CHEBI:28087	MNXM55375	1467867976
glycogen [vacuole]	C6H10O5	C00182	CHEBI:28087	MNXM55375	1467867976
glycolaldehyde [cytoplasm]	C2H4O2	C00266	CHEBI:17071	MNXM349	1467869079
glycolaldehyde [extracellular]	C2H4O2	C00266	CHEBI:17071	MNXM349	1467869079
glycolaldehyde [mitochondrion]	C2H4O2	C00266	CHEBI:17071	MNXM349	1467869079
glyoxylate [cytoplasm]	C2HO3	C00048	CHEBI:36655	MNXM69	1467866177
glyoxylate [extracellular]	C2HO3	C00048	CHEBI:36655	MNXM69	1467866177
glyoxylate [peroxisome]	C2HO3	C00048	CHEBI:36655	MNXM69	1467866177
GMP [cytoplasm]	C10H12N5O8P	C00144	CHEBI:58115	MNXM113	1467867475
GMP [Golgi]	C10H12N5O8P	C00144	CHEBI:58115	MNXM113	1467867475
GTP [cytoplasm]	C10H13N5O14P3	C00044	CHEBI:57600	MNXM51	1467866127
GTP [mitochondrion]	C10H13N5O14P3	C00044	CHEBI:57600	MNXM51	1467866127
guanine [cytoplasm]	C5H5N5O	C00242	CHEBI:16235	MNXM259	1467868747
guanine [extracellular]	C5H5N5O	C00242	CHEBI:16235	MNXM259	1467868747
guanine [mitochondrion]	C5H5N5O	C00242	CHEBI:16235	MNXM259	1467868747
guanosine [cytoplasm]	C10H13N5O5	C00387	CHEBI:16750	MNXM401	1467870385
guanosine [extracellular]	C10H13N5O5	C00387	CHEBI:16750	MNXM401	1467870385
guanosine [mitochondrion]	C10H13N5O5	C00387	CHEBI:16750	MNXM401	1467870385
H+ [cell envelope]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [cytoplasm]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [endoplasmic reticulum]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [extracellular]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [Golgi]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [lipid particle]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [mitochondrion]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [nucleus]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [peroxisome]	H	C00080	CHEBI:24636	MNXM1	1469442031
H+ [vacuole]	H	C00080	CHEBI:24636	MNXM1	1469442031
H2O [cytoplasm]	H2O	C00001	CHEBI:15377	MNXM2	1467879801
H2O [endoplasmic reticulum]	H2O	C00001	CHEBI:15377	MNXM2	1467879801
H2O [extracellular]	H2O	C00001	CHEBI:15377	MNXM2	1467879801
H2O [Golgi]	H2O	C00001	CHEBI:15377	MNXM2	1467879801
H2O [mitochondrion]	H2O	C00001	CHEBI:15377	MNXM2	1467879801
H2O [nucleus]	H2O	C00001	CHEBI:15377	MNXM2	1467879801
H2O [peroxisome]	H2O	C00001	CHEBI:15377	MNXM2	1467879801
H2O [vacuole]	H2O	C00001	CHEBI:15377	MNXM2	1467879801
hydroxyl_radical	HO	HO	HO	1468014334
heme a [mitochondrion]	C49H54FeN4O6	C15670	CHEBI:24479	MNXM53309	1468003528
heme o [mitochondrion]	C49H56FeN4O5	C15672	CHEBI:24480	MNXM1278	1468003536
henicosaprenyl diphosphate [lipid particle]	C105H170O7P2	nan	CHEBI:53032	MNXM56060	1468185753
heptadecaprenyl diphosphate [lipid particle]	C85H138O7P2	nan	CHEBI:53036	MNXM56121	1468185785
heptaprenyl diphosphate [lipid particle]	C35H58O7P2	C04216	CHEBI:53046	MNXM1722	1467901440
hexacosanoyl-CoA [cytoplasm]	C47H83N7O17P3S	nan	CHEBI:52966	MNXM1190	1468185453
hexacosanoyl-CoA [endoplasmic reticulum]	C47H83N7O17P3S	nan	CHEBI:52966	MNXM1190	1468185453
hexacosanoyl-CoA [peroxisome]	C47H83N7O17P3S	nan	CHEBI:52966	MNXM1190	1468185453
hexadec-2-enoyl-CoA [peroxisome]	C37H61N7O17P3S	nan	nan	MNXM581	1467908137
hexadecanal [endoplasmic reticulum]	C16H32O	C00517	CHEBI:17600	MNXM528	1467871850
hexadecanal [extracellular]	C16H32O	C00517	CHEBI:17600	MNXM528	1467871850
hexadecaprenyl diphosphate [lipid particle]	C80H130O7P2	nan	CHEBI:53037	MNXM56347	1469435421
hexaprenyl diphosphate [lipid particle]	C30H50O7P2	C01230	CHEBI:53047	MNXM1067	1467878968
hexaprenyl diphosphate [mitochondrion]	C30H50O7P2	C01230	CHEBI:53047	MNXM1067	1467878968
His-tRNA(His) [cytoplasm]	C6H8N3OR	C02988	CHEBI:29155	MNXM89831	1467892810
His-tRNA(His) [mitochondrion]	C6H8N3OR	C02988	CHEBI:29155	MNXM89831	1467892810
homocitrate [mitochondrion]	C7H7O7	C01251	CHEBI:36457	MNXM1056	1467879150
homocitrate [nucleus]	C7H7O7	C01251	CHEBI:36457	MNXM1056	1467879150
homoisocitrate [mitochondrion]	C7H7O7	C05662	CHEBI:30904	MNXM984	1467911260
hydrogen peroxide [cytoplasm]	H2O2	C00027	CHEBI:16240	MNXM22	1467865888
hydrogen peroxide [mitochondrion]	H2O2	C00027	CHEBI:16240	MNXM22	1467865888
hydrogen peroxide [nucleus]	H2O2	C00027	CHEBI:16240	MNXM22	1467865888
hydrogen peroxide [peroxisome]	H2O2	C00027	CHEBI:16240	MNXM22	1467865888
hydrogen sulfide [cytoplasm]	HS	C00283	CHEBI:29919	MNXM89582	1467869221
hypoxanthine [cytoplasm]	C5H4N4O	C00262	CHEBI:17368	MNXM213	1467869030
hypoxanthine [extracellular]	C5H4N4O	C00262	CHEBI:17368	MNXM213	1467869030
icosaprenyl diphosphate [lipid particle]	C100H162O7P2	nan	CHEBI:53033	MNXM57076	1468185761
IDP [cytoplasm]	C10H13N4O11P2	C00104	CHEBI:58280	MNXM495	1467866932
Ile-tRNA(Ile) [cytoplasm]	C6H12NOR	C03127	CHEBI:29160	MNXM89832	1467893921
Ile-tRNA(Ile) [mitochondrion]	C6H12NOR	C03127	CHEBI:29160	MNXM89832	1467893921
IMP [cytoplasm]	C10H12N4O8P	C00130	CHEBI:58053	MNXM125	1467867285
indol-3-ylacetaldehyde [cytoplasm]	C10H9NO	C00637	CHEBI:18086	MNXM518	1467873072
indol-3-ylacetaldehyde [extracellular]	C10H9NO	C00637	CHEBI:18086	MNXM518	1467873072
indol-3-ylacetaldehyde [mitochondrion]	C10H9NO	C00637	CHEBI:18086	MNXM518	1467873072
indole-3-acetate [cytoplasm]	C10H8NO2	C00954	CHEBI:30854	MNXM383	1467876294
indole-3-acetate [mitochondrion]	C10H8NO2	C00954	CHEBI:30854	MNXM383	1467876294
indole-3-pyruvate [cytoplasm]	C11H8NO3	C00331	CHEBI:17640	MNXM315	1467869763
inosine [cytoplasm]	C10H13N4O5	C00294	CHEBI:17596	MNXM334	1467869312
inosine [extracellular]	C10H13N4O5	C00294	CHEBI:17596	MNXM334	1467869312
inositol phosphomannosylinositol phosphoceramide backbone [Golgi]	C18H33NO23P2	nan	CHEBI:62682	MNXM57447	None
inositol phosphomannosylinositol phosphoceramide A (C24) [endoplasmic reticulum]	C60H115NO24P2	nan	CHEBI:60439	MNXM57464	1468211923
inositol phosphomannosylinositol phosphoceramide A (C24) [Golgi]	C60H115NO24P2	nan	CHEBI:60439	MNXM57464	1468211923
inositol phosphomannosylinositol phosphoceramide A (C24) [mitochondrion]	C60H115NO24P2	nan	CHEBI:60439	MNXM57464	1468211923
inositol phosphomannosylinositol phosphoceramide A (C26) [endoplasmic reticulum]	C62H119NO24P2	nan	CHEBI:62715	MNXM527419	1468224988
inositol phosphomannosylinositol phosphoceramide A (C26) [Golgi]	C62H119NO24P2	nan	CHEBI:62715	MNXM527419	1468224988
inositol phosphomannosylinositol phosphoceramide A (C26) [mitochondrion]	C62H119NO24P2	nan	CHEBI:62715	MNXM527419	1468224988
inositol phosphomannosylinositol phosphoceramide B (C24) [endoplasmic reticulum]	C60H115NO25P2	nan	CHEBI:60443	MNXM527425	1468211955
inositol phosphomannosylinositol phosphoceramide B (C24) [Golgi]	C60H115NO25P2	nan	CHEBI:60443	MNXM527425	1468211955
inositol phosphomannosylinositol phosphoceramide B (C24) [mitochondrion]	C60H115NO25P2	nan	CHEBI:60443	MNXM527425	1468211955
inositol phosphomannosylinositol phosphoceramide B (C26) [endoplasmic reticulum]	C62H119NO25P2	nan	CHEBI:62719	MNXM527421	1468225020
inositol phosphomannosylinositol phosphoceramide B (C26) [Golgi]	C62H119NO25P2	nan	CHEBI:62719	MNXM527421	1468225020
inositol phosphomannosylinositol phosphoceramide B (C26) [mitochondrion]	C62H119NO25P2	nan	CHEBI:62719	MNXM527421	1468225020
inositol phosphomannosylinositol phosphoceramide B' (C24) [endoplasmic reticulum]	C60H115NO25P2	nan	CHEBI:60441	MNXM527422	1468211939
inositol phosphomannosylinositol phosphoceramide B' (C24) [Golgi]	C60H115NO25P2	nan	CHEBI:60441	MNXM527422	1468211939
inositol phosphomannosylinositol phosphoceramide B' (C24) [mitochondrion]	C60H115NO25P2	nan	CHEBI:60441	MNXM527422	1468211939
inositol phosphomannosylinositol phosphoceramide B' (C26) [endoplasmic reticulum]	C62H119NO25P2	nan	CHEBI:62717	MNXM527418	1468225004
inositol phosphomannosylinositol phosphoceramide B' (C26) [Golgi]	C62H119NO25P2	nan	CHEBI:62717	MNXM527418	1468225004
inositol phosphomannosylinositol phosphoceramide B' (C26) [mitochondrion]	C62H119NO25P2	nan	CHEBI:62717	MNXM527418	1468225004
inositol phosphomannosylinositol phosphoceramide C (C24) [endoplasmic reticulum]	C60H115NO26P2	nan	CHEBI:60445	MNXM527424	1468211971
inositol phosphomannosylinositol phosphoceramide C (C24) [Golgi]	C60H115NO26P2	nan	CHEBI:60445	MNXM527424	1468211971
inositol phosphomannosylinositol phosphoceramide C (C24) [mitochondrion]	C60H115NO26P2	nan	CHEBI:60445	MNXM527424	1468211971
inositol phosphomannosylinositol phosphoceramide C (C26) [endoplasmic reticulum]	C62H119NO26P2	nan	CHEBI:53005	MNXM57469	1468185636
inositol phosphomannosylinositol phosphoceramide C (C26) [Golgi]	C62H119NO26P2	nan	CHEBI:53005	MNXM57469	1468185636
inositol phosphomannosylinositol phosphoceramide C (C26) [mitochondrion]	C62H119NO26P2	nan	CHEBI:53005	MNXM57469	1468185636
inositol phosphomannosylinositol phosphoceramide D (C24) [endoplasmic reticulum]	C60H115NO27P2	nan	CHEBI:60446	MNXM527423	1468211979
inositol phosphomannosylinositol phosphoceramide D (C24) [Golgi]	C60H115NO27P2	nan	CHEBI:60446	MNXM527423	1468211979
inositol phosphomannosylinositol phosphoceramide D (C24) [mitochondrion]	C60H115NO27P2	nan	CHEBI:60446	MNXM527423	1468211979
inositol phosphomannosylinositol phosphoceramide D (C26) [endoplasmic reticulum]	C62H119NO27P2	nan	CHEBI:62684	MNXM527420	1468224751
inositol phosphomannosylinositol phosphoceramide D (C26) [Golgi]	C62H119NO27P2	nan	CHEBI:62684	MNXM527420	1468224751
inositol phosphomannosylinositol phosphoceramide D (C26) [mitochondrion]	C62H119NO27P2	nan	CHEBI:62684	MNXM527420	1468224751
inositol-P-ceramide backbone [Golgi]	C6H12NO10P	nan	CHEBI:60245	MNXM57446	None
inositol-P-ceramide A (C24) [endoplasmic reticulum]	C48H95NO11P	nan	CHEBI:60402	MNXM57476	1468211655
inositol-P-ceramide A (C24) [Golgi]	C48H95NO11P	nan	CHEBI:60402	MNXM57476	1468211655
inositol-P-ceramide A (C24) [mitochondrion]	C48H95NO11P	nan	CHEBI:60402	MNXM57476	1468211655
inositol-P-ceramide A (C26) [endoplasmic reticulum]	C50H99NO11P	nan	CHEBI:60405	MNXM57477	1468211677
inositol-P-ceramide A (C26) [Golgi]	C50H99NO11P	nan	CHEBI:60405	MNXM57477	1468211677
inositol-P-ceramide A (C26) [mitochondrion]	C50H99NO11P	nan	CHEBI:60405	MNXM57477	1468211677
inositol-P-ceramide B (C24) [endoplasmic reticulum]	C48H95NO12P	nan	CHEBI:60410	MNXM527429	1468211717
inositol-P-ceramide B (C24) [Golgi]	C48H95NO12P	nan	CHEBI:60410	MNXM527429	1468211717
inositol-P-ceramide B (C24) [mitochondrion]	C48H95NO12P	nan	CHEBI:60410	MNXM527429	1468211717
inositol-P-ceramide B (C26) [endoplasmic reticulum]	C50H99NO12P	nan	CHEBI:60412	MNXM527430	1468211725
inositol-P-ceramide B (C26) [Golgi]	C50H99NO12P	nan	CHEBI:60412	MNXM527430	1468211725
inositol-P-ceramide B (C26) [mitochondrion]	C50H99NO12P	nan	CHEBI:60412	MNXM527430	1468211725
inositol-P-ceramide B' (C24) [endoplasmic reticulum]	C48H95NO12P	nan	CHEBI:60406	MNXM57474	1468211685
inositol-P-ceramide B' (C24) [Golgi]	C48H95NO12P	nan	CHEBI:60406	MNXM57474	1468211685
inositol-P-ceramide B' (C24) [mitochondrion]	C48H95NO12P	nan	CHEBI:60406	MNXM57474	1468211685
inositol-P-ceramide B' (C26) [endoplasmic reticulum]	C50H99NO12P	nan	CHEBI:60409	MNXM57475	1468211709
inositol-P-ceramide B' (C26) [Golgi]	C50H99NO12P	nan	CHEBI:60409	MNXM57475	1468211709
inositol-P-ceramide B' (C26) [mitochondrion]	C50H99NO12P	nan	CHEBI:60409	MNXM57475	1468211709
inositol-P-ceramide C (C24) [endoplasmic reticulum]	C48H95NO13P	nan	CHEBI:60413	MNXM527428	1468211733
inositol-P-ceramide C (C24) [Golgi]	C48H95NO13P	nan	CHEBI:60413	MNXM527428	1468211733
inositol-P-ceramide C (C24) [mitochondrion]	C48H95NO13P	nan	CHEBI:60413	MNXM527428	1468211733
inositol-P-ceramide C (C26) [endoplasmic reticulum]	C50H99NO13P	nan	CHEBI:53004	MNXM57486	1468185628
inositol-P-ceramide C (C26) [Golgi]	C50H99NO13P	nan	CHEBI:53004	MNXM57486	1468185628
inositol-P-ceramide C (C26) [mitochondrion]	C50H99NO13P	nan	CHEBI:53004	MNXM57486	1468185628
inositol-P-ceramide D (C24) [endoplasmic reticulum]	C48H95NO14P	nan	CHEBI:60414	MNXM527426	1468211741
inositol-P-ceramide D (C24) [Golgi]	C48H95NO14P	nan	CHEBI:60414	MNXM527426	1468211741
inositol-P-ceramide D (C24) [mitochondrion]	C48H95NO14P	nan	CHEBI:60414	MNXM527426	1468211741
inositol-P-ceramide D (C26) [endoplasmic reticulum]	C50H99NO14P	nan	CHEBI:60415	MNXM527427	1468211749
inositol-P-ceramide D (C26) [Golgi]	C50H99NO14P	nan	CHEBI:60415	MNXM527427	1468211749
inositol-P-ceramide D (C26) [mitochondrion]	C50H99NO14P	nan	CHEBI:60415	MNXM527427	1468211749
iron(2+) [cytoplasm]	Fe	C14818	CHEBI:29033	MNXM111	1467995313
iron(2+) [extracellular]	Fe	C14818	CHEBI:29033	MNXM111	1467995313
iron(2+) [mitochondrion]	Fe	C14818	CHEBI:29033	MNXM111	1467995313
isoamyl acetate [cytoplasm]	C7H14O2	C12296	CHEBI:31725	MNXM7451	1467979063
isoamyl acetate [extracellular]	C7H14O2	C12296	CHEBI:31725	MNXM7451	1467979063
isoamylol [cytoplasm]	C5H12O	C07328	CHEBI:15837	MNXM1670	1467925677
isoamylol [extracellular]	C5H12O	C07328	CHEBI:15837	MNXM1670	1467925677
isoamylol [mitochondrion]	C5H12O	C07328	CHEBI:15837	MNXM1670	1467925677
isobutanol [cytoplasm]	C4H10O	C14710	CHEBI:46645	MNXM5188	1467994116
isobutanol [extracellular]	C4H10O	C14710	CHEBI:46645	MNXM5188	1467994116
isobutanol [mitochondrion]	C4H10O	C14710	CHEBI:46645	MNXM5188	1467994116
isobutyl acetate [cytoplasm]	C6H12O2	nan	CHEBI:50569	MNXM57835	1468173957
isobutyl acetate [extracellular]	C6H12O2	nan	CHEBI:50569	MNXM57835	1468173957
isobutyraldehyde [cytoplasm]	C4H8O	nan	CHEBI:48943	MNXM5189	1468169329
isobutyraldehyde [extracellular]	C4H8O	nan	CHEBI:48943	MNXM5189	1468169329
isobutyraldehyde [mitochondrion]	C4H8O	nan	CHEBI:48943	MNXM5189	1468169329
isocitrate [cytoplasm]	C6H5O7	C00311	CHEBI:16087	MNXM89661	1467869532
isocitrate [mitochondrion]	C6H5O7	C00311	CHEBI:16087	MNXM89661	1467869532
isocitrate [peroxisome]	C6H5O7	C00311	CHEBI:16087	MNXM89661	1467869532
isopentenyl diphosphate [cytoplasm]	C5H10O7P2	C00129	CHEBI:128769	MNXM83	1467867268
isopentenyl diphosphate [lipid particle]	C5H10O7P2	C00129	CHEBI:128769	MNXM83	1467867268
isopentenyl diphosphate [mitochondrion]	C5H10O7P2	C00129	CHEBI:128769	MNXM83	1467867268
itaconate [mitochondrion]	C5H4O4	C00490	CHEBI:17240	MNXM1747	1467871497
itaconyl-CoA [mitochondrion]	C26H36N7O19P3S	C00531	CHEBI:57381	MNXM1671	1467872008
ITP [cytoplasm]	C10H13N4O14P3	C00081	CHEBI:61402	MNXM423	1467866603
keto-phenylpyruvate [cytoplasm]	C9H7O3	C00166	CHEBI:18005	MNXM162242	1467867780
L-2-amino-3-oxobutanoate [cytoplasm]	C4H7NO3	C03508	CHEBI:40673	MNXM114087	1467894577
L-2-aminoadipate [cytoplasm]	C6H10NO4	C00956	CHEBI:58672	MNXM268	1467876325
L-4-hydroxyglutamic semialdehyde [mitochondrion]	C5H9NO4	C05938	CHEBI:27809	MNXM2687	1467913461
L-alanine [cytoplasm]	C3H7NO2	C00041	CHEBI:16977	MNXM32	1467866080
L-alanine [extracellular]	C3H7NO2	C00041	CHEBI:16977	MNXM32	1467866080
L-alanine [mitochondrion]	C3H7NO2	C00041	CHEBI:16977	MNXM32	1467866080
L-allothreonine [cytoplasm]	C4H9NO3	C05519	CHEBI:28718	MNXM2125	1467868061
L-allysine [cytoplasm]	C6H11NO3	C04076	CHEBI:17917	MNXM89905	1467900456
L-alpha-formylglycine [cytoplasm]	C3H5NO3	C11822	CHEBI:58671	MNXM2124	1467974152
L-arabinitol [cytoplasm]	C5H12O5	C00532	CHEBI:18403	MNXM801	1467870302
L-arabinitol [extracellular]	C5H12O5	C00532	CHEBI:18403	MNXM801	1467870302
L-arabinose [cytoplasm]	C5H10O5	C00259	CHEBI:30849	MNXM461	1467867962
L-arabinose [extracellular]	C5H10O5	C00259	CHEBI:30849	MNXM461	1467867962
L-arginine [cytoplasm]	C6H15N4O2	C00062	CHEBI:32682	MNXM70	1467866345
L-arginine [extracellular]	C6H15N4O2	C00062	CHEBI:32682	MNXM70	1467866345
L-arginine [mitochondrion]	C6H15N4O2	C00062	CHEBI:32682	MNXM70	1467866345
L-arginine [vacuole]	C6H15N4O2	C00062	CHEBI:32682	MNXM70	1467866345
L-asparagine [cytoplasm]	C4H8N2O3	C00152	CHEBI:17196	MNXM147	1467867581
L-asparagine [extracellular]	C4H8N2O3	C00152	CHEBI:17196	MNXM147	1467867581
L-asparagine [mitochondrion]	C4H8N2O3	C00152	CHEBI:17196	MNXM147	1467867581
L-asparagine [vacuole]	C4H8N2O3	C00152	CHEBI:17196	MNXM147	1467867581
L-aspartate [cytoplasm]	C4H6NO4	C00049	CHEBI:29991	MNXM42	1467866192
L-aspartate [extracellular]	C4H6NO4	C00049	CHEBI:29991	MNXM42	1467866192
L-aspartate [mitochondrion]	C4H6NO4	C00049	CHEBI:29991	MNXM42	1467866192
L-aspartate [peroxisome]	C4H6NO4	C00049	CHEBI:29991	MNXM42	1467866192
L-aspartate [vacuole]	C4H6NO4	C00049	CHEBI:29991	MNXM42	1467866192
L-aspartate 4-semialdehyde [cytoplasm]	C4H7NO3	C00441	CHEBI:18051	MNXM361	1467870991
L-citrulline [cytoplasm]	C6H13N3O3	C00327	CHEBI:16349	MNXM211	1467869709
L-cystathionine [cytoplasm]	C7H14N2O4S	C02291	CHEBI:17482	MNXM319	1467872129
L-cysteine [cytoplasm]	C3H7NO2S	C00097	CHEBI:17561	MNXM55	1467866836
L-cysteine [extracellular]	C3H7NO2S	C00097	CHEBI:17561	MNXM55	1467866836
L-cysteinylglycine [cytoplasm]	C5H10N2O3S	C01419	CHEBI:4047	MNXM683	1467880428
L-cystine [cytoplasm]	C6H12N2O4S2	C00491	CHEBI:16283	MNXM927	1467871513
L-cystine [vacuole]	C6H12N2O4S2	C00491	CHEBI:16283	MNXM927	1467871513
L-gamma-glutamyl phosphate [cytoplasm]	C5H8NO7P	C03287	CHEBI:58274	MNXM1280	1467895085
L-gamma-glutamyl-L-alanine [cytoplasm]	C8H13N2O5	C03738	CHEBI:50619	MNXM59390	1467898142
L-gamma-glutamyl-L-cysteine [cytoplasm]	C8H13N2O5S	C00669	CHEBI:58173	MNXM412	1467873367
L-glucitol [cytoplasm]	C6H14O6	C01722	CHEBI:28789	MNXM4638	1467870443
L-glucitol [extracellular]	C6H14O6	C01722	CHEBI:28789	MNXM4638	1467870443
L-glutamate [cytoplasm]	C5H8NO4	C00025	CHEBI:29985	MNXM89557	1467865856
L-glutamate [extracellular]	C5H8NO4	C00025	CHEBI:29985	MNXM89557	1467865856
L-glutamate [mitochondrion]	C5H8NO4	C00025	CHEBI:29985	MNXM89557	1467865856
L-glutamate [nucleus]	C5H8NO4	C00025	CHEBI:29985	MNXM89557	1467865856
L-glutamate [peroxisome]	C5H8NO4	C00025	CHEBI:29985	MNXM89557	1467865856
L-glutamate [vacuole]	C5H8NO4	C00025	CHEBI:29985	MNXM89557	1467865856
L-glutamic 5-semialdehyde [cytoplasm]	C5H9NO3	C01165	CHEBI:17232	MNXM245	1467878310
L-glutamine [cytoplasm]	C5H10N2O3	C00064	CHEBI:18050	MNXM37	1467866374
L-glutamine [extracellular]	C5H10N2O3	C00064	CHEBI:18050	MNXM37	1467866374
L-glutamine [nucleus]	C5H10N2O3	C00064	CHEBI:18050	MNXM37	1467866374
L-glutamine [vacuole]	C5H10N2O3	C00064	CHEBI:18050	MNXM37	1467866374
L-glycine [cytoplasm]	C2H5NO2	C00037	CHEBI:15428	MNXM29	1467866026
L-glycine [extracellular]	C2H5NO2	C00037	CHEBI:15428	MNXM29	1467866026
L-glycine [mitochondrion]	C2H5NO2	C00037	CHEBI:15428	MNXM29	1467866026
L-histidine [cytoplasm]	C6H9N3O2	C00135	CHEBI:15971	MNXM134	1467867359
L-histidine [extracellular]	C6H9N3O2	C00135	CHEBI:15971	MNXM134	1467867359
L-histidine [mitochondrion]	C6H9N3O2	C00135	CHEBI:15971	MNXM134	1467867359
L-histidine [vacuole]	C6H9N3O2	C00135	CHEBI:15971	MNXM134	1467867359
L-histidinol [cytoplasm]	C6H13N3O	C00860	CHEBI:57699	MNXM1281	1467875398
L-histidinol phosphate [cytoplasm]	C6H11N3O4P	C01100	CHEBI:57980	MNXM1482	1467877674
L-homocysteine [cytoplasm]	C4H9NO2S	C00155	CHEBI:17588	MNXM123	1467867625
L-homoserine [cytoplasm]	C4H9NO3	C00263	CHEBI:15699	MNXM353	1467869044
L-homoserine [extracellular]	C4H9NO3	C00263	CHEBI:15699	MNXM353	1467869044
L-isoleucine [cytoplasm]	C6H13NO2	C00407	CHEBI:17191	MNXM231	1467870608
L-isoleucine [extracellular]	C6H13NO2	C00407	CHEBI:17191	MNXM231	1467870608
L-isoleucine [mitochondrion]	C6H13NO2	C00407	CHEBI:17191	MNXM231	1467870608
L-isoleucine [vacuole]	C6H13NO2	C00407	CHEBI:17191	MNXM231	1467870608
L-kynurenine [cytoplasm]	C10H12N2O3	C00328	CHEBI:16946	MNXM260	1467869724
L-leucine [cytoplasm]	C6H13NO2	C00123	CHEBI:15603	MNXM140	1467867191
L-leucine [extracellular]	C6H13NO2	C00123	CHEBI:15603	MNXM140	1467867191
L-leucine [mitochondrion]	C6H13NO2	C00123	CHEBI:15603	MNXM140	1467867191
L-leucine [vacuole]	C6H13NO2	C00123	CHEBI:15603	MNXM140	1467867191
L-lysine [cytoplasm]	C6H15N2O2	C00047	CHEBI:32551	MNXM78	1467866162
L-lysine [extracellular]	C6H15N2O2	C00047	CHEBI:32551	MNXM78	1467866162
L-lysine [mitochondrion]	C6H15N2O2	C00047	CHEBI:32551	MNXM78	1467866162
L-lysine [vacuole]	C6H15N2O2	C00047	CHEBI:32551	MNXM78	1467866162
L-methionine [cytoplasm]	C5H11NO2S	C00073	CHEBI:16643	MNXM61	1467866492
L-methionine [extracellular]	C5H11NO2S	C00073	CHEBI:16643	MNXM61	1467866492
L-methionine [mitochondrion]	C5H11NO2S	C00073	CHEBI:16643	MNXM61	1467866492
L-phenylalanine [cytoplasm]	C9H11NO2	C00079	CHEBI:17295	MNXM97	1467866580
L-phenylalanine [extracellular]	C9H11NO2	C00079	CHEBI:17295	MNXM97	1467866580
L-phenylalanine [mitochondrion]	C9H11NO2	C00079	CHEBI:17295	MNXM97	1467866580
L-proline [cytoplasm]	C5H9NO2	C00148	CHEBI:17203	MNXM114	1467867529
L-proline [extracellular]	C5H9NO2	C00148	CHEBI:17203	MNXM114	1467867529
L-proline [mitochondrion]	C5H9NO2	C00148	CHEBI:17203	MNXM114	1467867529
L-saccharopine [cytoplasm]	C11H19N2O6	C00449	CHEBI:57951	MNXM384	1467871065
L-serine [cytoplasm]	C3H7NO3	C00065	CHEBI:17115	MNXM53	1467866388
L-serine [endoplasmic reticulum]	C3H7NO3	C00065	CHEBI:17115	MNXM53	1467866388
L-serine [extracellular]	C3H7NO3	C00065	CHEBI:17115	MNXM53	1467866388
L-serine [mitochondrion]	C3H7NO3	C00065	CHEBI:17115	MNXM53	1467866388
L-sorbose [cytoplasm]	C6H12O6	C00247	CHEBI:17266	MNXM588	1467868822
L-sorbose [extracellular]	C6H12O6	C00247	CHEBI:17266	MNXM588	1467868822
L-threonine [cytoplasm]	C4H9NO3	C00188	CHEBI:16857	MNXM142	1467868061
L-threonine [extracellular]	C4H9NO3	C00188	CHEBI:16857	MNXM142	1467868061
L-threonine [mitochondrion]	C4H9NO3	C00188	CHEBI:16857	MNXM142	1467868061
L-tryptophan [cytoplasm]	C11H12N2O2	C00078	CHEBI:16828	MNXM94	1467866565
L-tryptophan [extracellular]	C11H12N2O2	C00078	CHEBI:16828	MNXM94	1467866565
L-tryptophan [mitochondrion]	C11H12N2O2	C00078	CHEBI:16828	MNXM94	1467866565
L-tyrosine [cytoplasm]	C9H11NO3	C00082	CHEBI:17895	MNXM76	1467866617
L-tyrosine [extracellular]	C9H11NO3	C00082	CHEBI:17895	MNXM76	1467866617
L-tyrosine [mitochondrion]	C9H11NO3	C00082	CHEBI:17895	MNXM76	1467866617
L-tyrosine [peroxisome]	C9H11NO3	C00082	CHEBI:17895	MNXM76	1467866617
L-tyrosine [vacuole]	C9H11NO3	C00082	CHEBI:17895	MNXM76	1467866617
L-valine [cytoplasm]	C5H11NO2	C00183	CHEBI:16414	MNXM199	1467867986
L-valine [extracellular]	C5H11NO2	C00183	CHEBI:16414	MNXM199	1467867986
L-valine [mitochondrion]	C5H11NO2	C00183	CHEBI:16414	MNXM199	1467867986
lanosterol [cytoplasm]	C30H50O	C01724	CHEBI:16521	MNXM482	1467882950
lanosterol [extracellular]	C30H50O	C01724	CHEBI:16521	MNXM482	1467882950
laurate [cytoplasm]	C12H23O2	C02679	CHEBI:18262	MNXM402	1467890574
